number,school
6241,Urshan College
2507,Vatterott College Berkeley
3635,Vatterott College Joplin
2893,Vatterott College Kansas City
2895,Vatterott College Springfield
2896,Vatterott College St. Joseph
2898,Vatterott College Sunset Hills
6929,Washington University
6933,Webster University
6934,Wentworth Military Academy and College
6937,Westminster College Missouri
6941,William Jewell College
6944,William Woods Universi Montana
379,Blackfeet Community College
4041,Carroll College Montan
5938,Chief Dull Knife College
1990,City College at Montan State University Billings
2041,College of Technology University of Montana
4280,Dawson Community College
4317,Flathead Valley Community College
4482,Montana State University College of Technology Great Falls
536,Little Big Horn College
4081,Miles Community Colle
5955,Montana Bible College
4488,Montana State Universi
4298,Montana State University Billings
4538,Montana State University Northern
4487,Montana Tech of University Montana
4660,Rocky Mountain Colleg
898,Salish Kootenai College
7044,Stone Child College
4058,University of Great Fall
4489,University of Montana
2022,University of Montana Helena College
4945,University of Montana Western
4998,Yellowstone Christian College Nebraska
6053,Bellevue University
6058,Bryan College of Health Sciences
6136,Central Community College
6466,Chadron State College
2250,Clarkson College
6106,College of Saint Mary
6116,Concordia University
6121,Creighton University
6165,Doane College
6248,Grace University
3385,Hamilton College Lincoln
6270,Hastings College
3326,Kaplan University
3616,Little Priest Tribal College
6401,McCook Community College
5755,Metropolitan Community College
6497,Mid-Plains Community College
6406,Midland University
9364,Navy Recruiting District Omaha
1332,Nebraska Christian College
1305,Nebraska College Technical Agriculture
1431,Nebraska Indian Community College
6510,Nebraska Methodist College
6470,Nebraska Wesleyan University
6473,Northeast Community College
6468,Peru State College
2626,Saint Gregory the Great Seminary
1189,Southeast Community College
6795,Southeast Community College Beatrice
6502,Southeast Community College Milford
6865,Union College Nebraska
6467,University of Nebraska Kearney
6877,University of Nebraska Lincoln
6896,University of Nebraska Medical Center
6420,University of Nebraska Omaha
2900,Vatterott College Omaha
6469,Wayne State College
6957,Western Nebraska Community College
6648,Western Nebraska Community College Scottsbluff
6984,York College Nebraska Nevada
3832,Art Institute of Las Vegas
3202,Career College of Northern Nevada
7444,Chamberlain College of Nursing Las Vegas
4136,College of Southern Nevada
4281,Deep Springs College
4293,Great Basin College
3167,Kaplan College Las Vegas Campus
2149,Las Vegas College
4572,Nevada State College
5971,Sanford Brown College Las Vegas
4757,Sierra Nevada College
1096,Truckee Meadows Community College
4861,University of Nevada Las Vegas
4844,University of Nevada Reno
4972,Western Nevada College
3281,Colby-Sawyer College
7233,College for America at Southern New Hampshire University
3648,Daniel Webster College
3351,Dartmouth College
3395,Franklin Pierce University
458,Granite State College
3661,Great Bay Community College
3472,Keene State College
3850,Lakes Region Community College
3660,Manchester Community College
7802,Massachusetts College of Pharmacy & Health Science
3643,Nashua Community College
3657,New England College
3868,New Hampshire Institute of Art
3913,New Hampton School
3647,NHTI Concord’s Community College
3562,Northeast Catholic College
1884,Phillips Exeter Academy
3690,Plymouth State University
3684,River Valley Community College
3728,Rivier University
3748,Saint Anselm College
3649,Southern New Hampshire University
3892,Thomas More College of Liberal Arts
3902,Tuck Business Bridge Program
3918,University of New Hampshire Durham
2094,University of New Hampshire Manchester
3646,White Mountains Community College New Jersey
7267,Anthem Institute
4050,APA Transport Education Foundation
2009,Assumption College Sisters
2024,Atlantic Cape Community College
7033,Atlantic City Medical Center School of X-ray Technology
2032,Bergen Community College
2061,Berkeley College West Paterson
2064,Berkeley College Woodland Park
2166,Beth Medrash Govoha
2044,Bloomfield College
2181,Brookdale Community College
2072,Caldwell University
2121,Camden County College
2080,Centenary College of New Jersey
2139,Christ Hospital School of Nursing Jersey City
2519,College of New Jersey
2090,College of Saint Elizabeth
2124,County College of Morris
2118,Cumberland County College
2203,DeVry University
2193,Drew University
7930,Eastern International College
5829,Eastwick College
7463,Eastwick College  Hackensack
7464,Eastwick College Nutley
2237,Essex County College
2262,Fairleigh Dickinson  University Madison
2263,Fairleigh Dickinson  University Teaneck
2321,Felician University
7253,Fortis Institute
2274,Georgian Court  University
7465,Hohokus School of Trade  & Technical Sciences
2304,Holy Name Hospital  School of Nursing
2291,Hudson County  Community College
7339,Jersey College  School of Nursing
2517,Kean University
649,Liberty Township School
3053,Lincoln Technical  Institute Union
4237,Lincoln Technical  Institute Mahwah
2444,Mercer County  Community College
4769,Mercer County  Technical Schools
2441,Middlesex County  College
2416,Monmouth University
2520,Montclair State  University
2427,Mountainside Hospital  School of Nursing
2452,Muhlenburg Regional  Medical Center
9375,Navy Recruiting  District New Jersey
3339,New Jersey Army  National Guard
2516,New Jersey City  University
2513,New Jersey Institute  of Technology
8031,New Jersey Youth  Corporation Newark
2630,Ocean County College
2631,Our Lady of Lourdes  School of Nursing
2694,Passaic County  Community College
2232,Petrocelli College
7992,Princeton Theological  Seminary
2672,Princeton University
2884,Ramapo College  of New Jersey
2867,Raritan Valley  Community College
2727,Reading Fleming  Intermediate School
2758,Rider University
2180,Rowan at Burlington  County College
2281,Rowan College at  Gloucester County
2515,Rowan University
2765,Rutgers University
2858,St. Francis Medical  Center Trenton  School of Nursing
2806,Saint Peters University
2868,Salem Community  College
2811,Seton Hall University
3933,Somerset Christian  College
2819,Stevens Institute  of Technology
2889,Stockton University
2711,Sussex County  Community College
686,Talmudical Academy  of New Jersey
4219,The Cittone Institute
682,Thomas A Edison State College
2239,Trinitas School of Nursing at Union County College
2921,Union County College
5919,United States Marine Corp
2722,Warren County Community College
2974,Westminster Choir College of Rider University
2518,William Paterson University of New Jersey New Mexico
1882,Armand Hammer United World College American West
3387,Central New Mexico Community College Main Campus
4921,Clovis Community College
6296,Dona Ana Branch Community College
4662,Eastern New Mexico University Roswell
4299,Eastern New Mexico University Portales
180,Institute American Indian Native Cultural Arts
2591,Luna Community College
3618,Mesalands Community College
5360,National American University
4532,New Mexico Highlands University
4533,New Mexico Institute of Mining and Tech
4553,New Mexico Junior College
4534,New Mexico Military Institute
4012,New Mexico State University Alamogordo
4547,New Mexico State University Carlsbad
461,New Mexico State University Grants
4531,New Mexico State University University Park
425,Northern New Mexico Community College
4737,Saint John’s College New Mexico
4732,San Juan College
4816,Santa Fe Community College
4676,Santa Fe University of Art and Design
3039,Southwest University of Visual Arts
7047,Southwestern Indian Poly Institute
4845,University of New Mexico Albuquerque
977,University of New Mexico Gallup
4116,University of the Southwest
4535,Western New Mexico University New York
2003,Adelphi University
2013,Albany College of Pharmacy
2005,Alfred University
774,American Academy McAllister Institute Funeral Services
2603,American Academy of Dramatic Arts East
2103,American Musical and  Dramatic Academy
903,American University  in Cairo
902,American University  of Beirut
2016,Arnot-Ogden  Medical Center
3106,Art Institute of  New York City
9014,Aspira New York Inc.
8028,Bank Street Graduate  School of Education
2037,Bard College
2038,Barnard College
6812,Barrytown College of Ut
954,Berkeley College  New York City
731,Beth Hamedraash  Shaarei Yosher
7317,Beth Hatalmud  Rabbinical College
1886,Bnai Brith Career  Counseling Service
2901,Boricua College
944,Bramson Ort College
3109,Briarcliffe College
3111,Briarcliffe College  Patchogue
6618,Brooklyn Law School
2048,Broome Community  College
7327,Bryant and Stratton  Business Institute
3328,Bryant and Stratton  College
3331,Bryant and Stratton  College Amherst
2058,Bryant and Stratton  College Buffalo
2018,Bryant Stratton  Business Institute
654,Bryant Stratton  Business Institute
2073,Canisius College
2010,Cayuga County  Community College
2078,Cazenovia College
4030,Center Legal  Education Community  College New York
549,Central Yeshiva Tomche  Tmimim Lubavitz
2084,Clarkson University
2135,Clinton Community  College of New York
2894,Cochran School  Nursing Saint John’s  Riverside Hospital
2086,Colgate University
1236,College New Rochelle  School New Resources
2088,College of Mount  Saint Vincent
2089,College of New Rochell
2091,College of Saint Rose
1023,College of Westchester
7982,Columbia Law School
2594,Columbia University  School of Continuing  Education
2095,Columbia University  School of General Studi
2116,Columbia University  Undergraduate  Admissions
2138,Columbia-Greene  Community College
8026,Compass Seneca Center
2096,Concordia College  New York
2097,Cooper Union
2098,Cornell University
4818,Cornell University  College of Veterinary  Medicine
2106,Corning Community  College
2109,Crouse Hospital
3301,Culinary Institute  of America
3988,CUNY Baccalaureate  for Unique and  Interdisplinary Studies
2034,CUNY Baruch College
2063,CUNY Borough  of Manhattan  Community College
2051,CUNY Bronx  Community College
2046,CUNY Brooklyn College
2778,CUNY College of  Staten Island
2303,CUNY Hostos  Community College
2301,CUNY Hunter College
2115,CUNY John Jay College  of Criminal Justice
2358,CUNY Kingsborough  Community College
2246,CUNY LaGuardia  Community College
2312,CUNY Lehman College
2460,CUNY Medgar  Evers College
2550,CUNY New York City  College of Technology
2750,CUNY Queens College
2751,CUNY Queensborough  Community College
2083,CUNY the City College  of New York
7886,CUNY Stella and  Charles Guttman  Community College
2950,CUNY UAPC
2992,CUNY York College
2762,Daemen College
1270,Darkei Noam  Rabbinical College
2233,Davis College
4276,DeVry College of New  York Midtown Campus
2190,Dominican College  of Blauvelt
2011,Dowling College
2198,Dutchess Community  College
2197,Dyouville College
2224,Eastman School of Music  University of Rochester
7229,Einstein STEP EEP-AEC  Med at Yeshiva  University
2216,Ellis Medicine Belanger  School of Nursing
3332,Elmira Business Institute
2226,Elmira College
2213,Erie Community  College City Campus
2228,Erie Community College  North Campus
2211,Erie Community College  South Campus
2521,Eugene Lang College the  New School Liberal Arts
5918,European School of  Economics New York
759,Excelsior College
2257,Fashion Institute  of Technology
7077,Fei Tian College
2134,Finger Lakes  Community College
3142,Five Towns College
2259,Fordham University
922,Franklin University  Switzerland
2254,Fulton-Montgomery  Community College
2272,Genesee Community  College
2248,Global College of Long  Island University
3333,Globe Institute of  Technology
2286,Hamilton College
2288,Hartwick College
2290,Hebrew Union  College NY
859,Hebrew University  Rothberg International  School
8251,Henry Street Settlement  Expanded College  Prep Program
2316,Herkimer County  Community College
2334,Hilbert College
2294,Hobart William  Smith College
2295,Hofstra University
2298,Holy Trinity Orthodox  Seminary
2299,Houghton College
2300,Hudson Valley  Community College
7333,Icahn School of Medicine  at Mount Sinai
2326,Institute International  Education NY
677,Institute of Design  Construction
6346,Institute Special  Education
2324,Iona College
3048,Island Drafting and  Technical Institute
2325,Ithaca College
2346,Jamestown  Business College
2335,Jamestown Community  College Jamestown
2158,Jamestown Community  College Olean
2345,Jefferson Community  College
2339,Jewish Theological  Seminary of America
2340,Juilliard School
1039,Katharine Gibbs School  Melville New York
619,Kehilath Yakov  Rabbinical Seminary
2350,Keuka College
541,Kol Yaakov Torah Center
2366,Le Moyne College
2595,Lebanese American  University
8041,Liberty Academy for Law  Justice and Public Service
2380,Lim College
3334,Long Island Business  Institute
2369,Long Island University  Brooklyn Campus
2070,Long Island University  Post Campus
726,Machzikei Hadath  Rabbinical College
6463,Mandl School: College  of Allied Health
2395,Manhattan College
2396,Manhattan School  of Music
2397,Manhattanville College
2398,Mannes College New  School for Music
2434,Maria College of Albany
2400,Marist College
2405,Marymount  Manhattan College
2422,Medaille College
2472,Memorial Hospital  Albany
9143,Memorial Sloan Kettering  School of Rad Therapy
2409,Mercy College  Dobbs Ferry
1590,Mesivta Eastern Parkway  Rabbinical Seminary
632,Mesivta Tifereth  Jerusalem of America
636,Mesivta Torah  Vodaath Seminary
4802,Metropolitan College  of New York
2323,Michlalah College
3335,Mildred Elley
661,Mirrer Yeshiva  Central Institute
2414,Mohawk Valley  Community College
2415,Molloy College
2462,Monroe College
2463,Monroe College Bronx
2429,Monroe Community  College
2455,Montefiore School  of Nursing
2423,Mount Saint  Mary College
2563,Nassau Community  College
3683,Nativ Program Israel
9377,Navy Recruiting  District Buffalo
9380,Navy Recruiting  District of New York
2511,Nazareth College  of Rochester
7336,The New School  for Drama
6153,The New School for Jazz  and Contemporary Music
7335,The New School for  Public Engagement
5324,New York Career  Institute
3607,New York Chiropractic  College
3853,New York Conservatory  for Dramatic Arts
2561,New York Institute  of Technology
8978,New York Junior  Tennis League
7386,New York Law School
333,New York School of  Interior Design
2562,New York University
2568,Niagara County  Community College
2558,Niagara University
2571,North Country  Community College
5959,Nyack College New  York City Campus
2560,Nyack College  Nyack Campus
610,Ohr Hameir Theological  Seminary
630,Olean Business Institute
2627,Onondaga Community  College
2625,Orange County  Community College
2635,Pace University  New York City
2685,Pace University  Pleasantville Briarcliffe
6801,Pacific College of  Oriental Medicine
2638,Parsons School of Design
2640,Paul Smiths College  of Arts and Sciences
2031,Phillips Beth Israel  School of Nursing
545,Plaza College
6981,Poznan University of  Medical Sciences
2669,Pratt Institute
719,Rabbinical Academy  Mesivta Berlin
668,Rabbinical College  Beth Shraga
7011,Rabbinical College  Bobover Yeshiva  Bnei Zion
714,Rabbinical College  Ch’san Sofer
675,Rabbinical College  Long Island
666,Rabbinical Seminary  Adas Yerem
767,Rabbinical Seminary  M’kor Chaim
2776,Rabbinical Seminary  of America
7374,Relay Graduate  School of Education
2757,Rensselaer Polytechnic  Institute
2759,Roberts Wesleyan  College
2760,Rochester Institute  of Technology
2767,Rockland Community  College
2764,Russell Sage College
7068,Sae Institute New York
2343,Sage College Albany
2771,Sage Evening College
2793,Saint Bonaventure  University
2847,Saint Elizabeth  College of Nursing
2796,Saint Francis College  New York
2864,Saint George’s  University School of  Arts and Sciences
2831,Saint James Mercy  Hospital School  of Nursing
2798,Saint John Fisher College
2845,Saint John’s University  Staten Island
2802,Saint Joseph’s  College Brooklyn
2841,Saint Joseph’s  College Patchogue
2805,Saint Lawrence  University
3400,Saint Paul’s School  of Nursing
2807,Saint Thomas  Aquinas College
3439,Samaritan Hospital  School of Nursing
2810,Sarah Lawrence College
2879,Schenectady County  Community College
2835,School of Visual Arts
2068,Schwartz College  of Pharmacy
7129,Shor Yoshuv  Rabbinical College
2814,Siena College
2815,Skidmore College
7913,Sotheby’s Institute of Art
8798,Sponsors Educational  Opportunity
8030,Sprain Brook  Academy Boces
2112,St. John’s University  College of Insurance
2799,St. John’s University  Jamaica
9741,St. Luke’s Memorial  Hosp Center
2825,St. Joseph’s College  of Nursing
2017,SUNY Adirondack
2532,SUNY Center at Albany
2524,SUNY Cobleskill
2535,SUNY College at  Binghamton
2537,SUNY College at  Brockport
2533,SUNY College at Buffalo
2538,SUNY College at Cortland
2539,SUNY College at Fredonia
2541,SUNY College at  New Paltz
2542,SUNY College at Oneonta
2543,SUNY College at Oswego
2545,SUNY College at Potsdam
2878,SUNY College  at Purchase
2523,SUNY College Canton
2530,SUNY College of  Environmental Science  and Forestry
2897,SUNY College of  Optometry
2522,SUNY College of  Technology Alfred
2525,SUNY College of  Technology at Delhi
2526,SUNY College of  Technology Farmingdal
2214,SUNY Empire  State College
2540,SUNY Geneseo
2534,SUNY Health Science  Center Brooklyn
2536,SUNY Maritime  College Bronx
2527,SUNY Morrisville State
2866,SUNY Old Westbury
2544,SUNY Plattsburgh
755,SUNY Polytechnic  Institute Utica/Rome
2548,SUNY Stony Brook  University
2855,SUNY Sullivan
2925,SUNY University  at Buffalo
2547,SUNY Upstate  Medical University
2827,Suffolk County  Community College
2846,Suffolk County  Community College  Riverhead
2823,Syracuse University
1426,Talmudical Institute  Upstate New York
712,Talmudical Seminary  Oholei Torah
2755,Technical Career  Institutes
810,Tel Aviv University
2871,The Kings College
2904,Tompkins Cortland  Community College
7132,Torah Temimah  Talmudical Seminary
5577,Touro College School  of Health Sciences  Undergraduate
2120,Touro College School  of Health Sciences  Undergraduate
2902,Touro College
2856,Trocaire College
2938,Ulster County  Community College
2920,Union College
3984,United States Marine  Corps Officer Selection
3874,United States Marine  Corps Syracuse
2923,United States Merchant  Marine Academy
2924,United States  Military Academy
696,United Talmudical  Academy
2928,University of Rochester
343,Utica School of Commer  Business College
7925,USMC Officer Selection  Recruiting Station
2932,Utica College
3341,Utica School of Commer
3340,Utica School of  Commerce Canastota
2956,Vassar College
2001,Vaughn College of  Aeronautics and  Technology
2962,Villa Maria College  New York
2966,Wagner College
2970,Webb Institute
2971,Wells College
2972,Westchester Community College
2913,Wood Tobe-Coburn School
7974,Word of Life Bible Institute
552,Yeshiva Derech Chaim
1582,Yeshiva Karlin Stolin Beth
691,Yeshiva Nitra Rabbinical College
743,Yeshiva Shaar Hatora
2990,Yeshiva University New York
1432,Yeshivat Mikdash Melech North Carolina
5790,Alamance Community College
760,Ambassador Baptist College
5010,Appalachian State University
3834,Art Institute of Charlotte
7899,Art Institute of Raleigh-Durham
5033,Asheville-Buncombe Technical Community College
5052,Barber-Scotia College
5016,Barton College
7307,Beaufort County Community College
5055,Belmont Abbey College
5058,Bennett College North Carolina
3082,Bladen Community College
5644,Blue Ridge Community College
5067,Brevard College
7029,Brookstone College of Business
7314,Brunswick Community College
5136,Cabarrus College of Health Sciences
5146,Caldwell Community College Technical Institute
5203,Calvary Baptist Bible College
5100,Campbell University
5094,Cape Fear Community College
6211,Carolinas College of Health Sciences
5129,Carolinas Medical Center School Radiology
5092,Carteret Community College
5103,Catawba College
5098,Catawba Valley Community College
5147,Central Carolina Community College
5102,Central Piedmont Community College
7993,Chamberlain College of Nursing Irving
6991,Chefs Academy of Harrison College
5107,Chowan University
5140,Cleveland Community College
5134,Coastal Carolina Community College
5133,College of the Albemarle
5148,Craven Community College
5150,Davidson College
5170,Davidson County Community College
6977,DeVry University Raleigh-Durham
5156,Duke University
5172,Durham Technical  Community College
5180,East Carolina University
5199,Edgecombe  Community College
5629,Elizabeth City  State University
7220,Elon Academy at  Elon University
5183,Elon University
5212,Fayetteville State  University
5208,Fayetteville Technical  Community College
5234,Forsyth Technical  Community College
5946,Fuqua School of Business
5242,Gardner-Webb University
5262,Gaston College
7907,Grace College of Divinity
5260,Greensboro College
5261,Guilford College
5275,Guilford Technical  Community College
621,Halifax Community  College
5289,Haywood Community  College
5293,High Point University
5319,Isothermal Community  College
6256,James Sprunt  Community College
4360,Johnson & Wales  University Charlotte
5333,Johnson C Smith  University
727,Johnston Community  College
5361,Kings College  North Carolina
5348,Laurel University
5364,Lees-McRae College
5378,Lenoir Community  College
5365,Lenoir-Rhyne University
7763,Living Arts College
5384,Living University
5367,Livingstone College
5369,Louisburg College
5395,Mars Hill University
5445,Martin Community  College
795,Mayland Community  College
789,McDowell Technical  Community College
5410,Meredith College
5426,Methodist University
5597,Mid-Atlantic Christian  University
3342,Miller-Motte  Technical College
5412,Mitchell Community  College
785,Montgomery  Community College
5423,Montreat College
4443,Moses Cone Health  System Radiologic  Technology Program
3927,Moses H Cone Memorial  Hospital Radiologic  Tech Program
5881,Nash Community College
9374,Navy Recruiting  District Raleigh
5003,North Carolina  Agricultural & Technical  State University
5495,North Carolina  Central University
5496,North Carolina State  University Raleigh
5501,North Carolina  Wesleyan College
864,Pamlico Community  College
5536,Pfeiffer University
5518,Piedmont Community  College
5555,Piedmont International  University
5556,Pitt Community College
5544,Presbyterian School  of Nursing Queens  University
5560,Queens University  of Charlotte
5585,Randolph Community  College
5588,Richmond Community  College
7438,Ridgeview Preparatory  and Sports Academy
5564,Roanoke-Chowan  Community College
5594,Robeson Community  College
5582,Rockingham  Community College
5589,Rowan-Cabarrus  Community College
5214,Saint Andrews University
5596,Saint Augustine’s College
5607,Salem College
505,Sampson Community  College
5649,Sandhills Community  College
5612,Shaw University
508,South College Asheville
3623,South Piedmont  Community College
7242,South University  High Point
7050,Southeastern Baptist  Theological Seminary
5651,Southeastern Community  College North Carolina
3776,Southeastern Free  Will Baptist College
5667,Southwestern  Community College
496,Stanly Community  College
5656,Surry Community College
5785,Tri-County Community  College
9092,United Piedmont  Center for Educational  Excellence
5013,University North  Carolina Asheville
5105,University North  Carolina Charlotte
5435,University of Mount Olive
5816,University of North  Carolina Chapel Hill
5913,University of North  Carolina Greensboro
5534,University of North  Carolina Pembroke
5512,University of North  Carolina School  of the Arts
5907,University of North  Carolina Wilmington
617,Vance-Granville  Community College
5885,Wake Forest University
5928,Wake Technical College
5886,Warren Wilson College
5915,Watts School of Nursing
5926,Wayne Community  College
5897,Western Carolina  University
5922,Western Piedmont  Community College
5921,Wilkes Community  College
5533,William Peace University
4171,Wilson Community College
5930,Wilson Community College
5908,Wingate University
5909,Winston-Salem State University North Dakota
3343,Aakers College
6041,Bismarck State College
1306,Cankdeska Cikana Community College
1540,Dakota College Bottineau
6477,Dickinson State University
7304,Fort Bethold Community College
6163,Lake Region State College
6478,Mayville State University
7051,Medcenter One College of Nursing
6479,Minot State University
6476,North Dakota State College of Science
6474,North Dakota State University Fargo
310,Sitting Bull College
356,Trinity Bible College
352,Turtle Mountain Community College
4915,United Tribes Technical College
6318,University of Jamestown
6428,University of Mary
6878,University of North Dakota Grand Forks
6480,Valley City State University
6905,Williston State College Ohio
3344,Academy of Court Reporting
4120,Allegheny Wesleyan College
1017,Antioch College
4527,Antioch University McGregor
1002,Art Academy of Cincinnati
3181,Art Institue of Cincinnati
4895,Art Institute of Ohio Cincinnati
1021,Ashland University
3203,Aultman College of Nursing & Health Sciences
1050,Baldwin Wallace University
1072,Belmont Technical College
1067,Bluffton University
2195,Bohecker’s Business College
1069,Bowling Green State University
749,Bowling Green State University Fireland
3952,Bradford School
3266,Brown Mackie College Akron Campus
3576,Brown Mackie College Cincinnati Campus
3148,Brown Mackie College North Canton Campus
3251,Bryant and Stratton College
577,Bryant and Stratton College Parma
814,Bryant and Stratton Eastlake Campus
1099,Capital University
1105,Case Western Reserve University
1151,Cedarville University
7321,Central Ohio  Technical College
1107,Central State University
7251,Chamberlain College  of Nursing Cleveland
5763,Chamberlain School  of Nursing Ohio
1143,Chatfield College
2200,Christ College of Nursin  and Health Sciences
1091,Cincinnati Christian  University
945,Cincinnati College of  Mortuary Science
1984,Cincinnati State  Technical Community  College
777,Clark State  Community College
802,Cleveland Institute  Electronics
1152,Cleveland Institute of A
1124,Cleveland Institute  of Music
1221,Cleveland State  University
1134,College of Wooster
1085,Columbus College  Art and Design
1148,Columbus State  Community College
1978,Cuyahoga Community  College Eastern Campu
1159,Cuyahoga Community  College Metropolitan
1985,Cuyahoga Community  College Western Campu
7439,Cuyahoga Community  College Westshore  Campus
2155,Davis College
3263,Daymar College
1162,Defiance College
1164,Denison University
1605,DeVry University Ohio
2264,Eastern Gateway  Community College
1191,Edison State  Community College
3154,Education America  Remington College Ohi
3149,ETI Technical  College of Niles
1610,Fortis College
1133,Franciscan University  of Steubenville
1229,Franklin University
5967,Galen College of Nursin
2469,Gallipolis Career Colleg
1238,God’s Bible School  and College
1259,Good Samaritan  College of Nursing
1292,Heidelberg University
7277,Herzing University
1297,Hiram College
1822,Hocking College
3255,Hondros College
3047,International College  of Broadcasting
754,James A. Rhodes  State College
1342,John Carroll University
1434,Kent State University
1485,Kent State University  Ashtabula
328,Kent State University  East Liverpool
6979,Kent State University  Geauga Campus
1367,Kent State University  Kent Campus
683,Kent State University  Salem Campus
585,Kent State University  Stark Campus
593,Kent State University  Trumbull
1370,Kenyon College
602,Kettering College  of Medical Arts
1391,Lake Erie College
1422,Lakeland Community  College
1417,Lorain County  Community College
1427,Lourdes University
1439,Malone University
1444,Marietta College
699,Marion Technical College
3935,Medcentral College  of Nursing
4685,Mercy College of Ohio
1463,Miami University
1526,Miami University  Hamilton
1509,Miami University  Middletown
1528,Miami-Jacobs  Career College
2173,Miami-Jacobs Career  College Independence  Campus
1502,Mount Carmel  College of Nursing
1129,Mount Saint Joseph  University
1531,Mount Vernon  Nazarene University
1496,Muskingum University
721,North Central  State College
1692,Northeast Ohio  Medical University
1235,Northwest State  Community College
1566,Notre Dame College
1587,Oberlin College and  Conservatory
3117,Ohio Bible College
3260,Ohio Business  College Sandusky
2470,Ohio Business  College Sheffield
1088,Ohio Christian University
2985,Ohio College of  Massotherapy
1589,Ohio College  Podiatric Medicine
1131,Ohio Dominican  University
3380,Ohio Institute of  Photography and  Technology
1591,Ohio Northern University
1009,Ohio State University  Agricultural Technical
1592,Ohio State University  Columbus
1541,Ohio State  University Lima
744,Ohio State University  Mansfield
752,Ohio State University  Marion Campus
824,Ohio State University  Newark
2999,Ohio Technical College
1593,Ohio University Athens
775,Ohio University  Chillicothe
828,Ohio University  Eastern Campus
826,Ohio University  Lancaster
1912,Ohio University Southern  Campus at Ironton
846,Ohio University  Zanesville
5852,Ohio Valley College  of Technology
1594,Ohio Wesleyan University
1597,Otterbein University
1643,Owens Community College
5487,Owens Community College Findlay
1348,Pontifical College Josephinum
1660,Rabbinical College Telshe
4200,Remington College
3936,Rosedale Bible College
5953,School of Advertising Art
1790,Shawnee State University
1190,Siegal College of Judaic Studies
1720,Sinclair Community College
6992,South University Cleveland Campus
1752,Southern State Community College
2468,Southwestern Business College Chillicothe
1688,Stark State College of Tech
365,Terra State Community College
2589,Thompson Bible Institute
1817,Tiffin University
1611,Trinity Health System School of Nursing
3270,Trumbull Business College
1829,University of Akron
1892,University of Akron Wayne College
1833,University of Cincinnati
1834,University of Dayton
1223,University of Findlay
1492,University of Mount Union
816,University of Northwestern Ohio
1663,University of Rio Grande
1845,University of Toledo
1847,Urbana University
1848,Ursuline College
5972,Valor Christian College
1266,Vandalia-Butler City Schools
7331,Vatterott College Cleveland
396,Virginia Marti College of Art and Design
1926,Walsh University
381,Washington State Community College
1906,Wilberforce University
1909,Wilmington College
1922,Wittenberg University
1179,Wright State University Dayton
1947,Wright State University Lake Campus
1965,Xavier University
1975,Youngstown State University
1535,Zane State College Oklahoma
6030,Bacone College
6080,Cameron University
1474,Carl Albert State College
6117,Connors State College
6186,East Central University
6189,Eastern Oklahoma State College
4648,Herbert W. Armstrong College
6361,Langston University
918,Mid-America Christian University
6421,Murray State College
9358,Navy Recruiting District North Oklahoma City
6484,Northeastern Oklahoma A&M College
6485,Northeastern State University
6486,Northern Oklahoma College
6493,Northwestern Oklahoma State University
2609,Oklahoma Baptist College and Institute
6541,Oklahoma Baptist University
6086,Oklahoma Christian University
270,Oklahoma City Community College
6543,Oklahoma City University
6571,Oklahoma Panhandle State University
3382,Oklahoma State University Okmulgee
6546,Oklahoma State University Stillwater
1436,Oklahoma State University Technical Oklahoma City
6135,Oklahoma Wesleyan University
6552,Oral Roberts University
927,Randall University
7324,Redlands Community College
6545,Rogers State University
1462,Rose State College
6621,Saint Gregory’s University
316,Seminole State College
6657,Southeastern Oklahoma State University
6036,Southern Nazarene University
1433,Southwestern Christian University
6673,Southwestern Oklahoma State University
6646,Southwestern Oklahoma State University Sayre
336,Spartan College
6839,Tulsa Community College
2958,Tulsa Welding School
6091,University of Central Oklahoma
6879,University of Oklahoma
430,University of Oklahoma Health Science Center
6544,University of Science and Arts of Oklahoma
6883,University of Tulsa
2899,Vatterott College Oklahoma City
3637,Vatterott College Tulsa
6020,Western Oklahoma State College
6071,Western Technology Center Oregon
4231,Art Institute of Portland
4025,Blue Mountain Community College
4090,Central Oregon Community College
4745,Chemeketa Community College
4111,Clackamas Community College
4089,Clatsop Community College
5792,College Veterinary Medicine Oregon State University
3185,Columbia Gorge Community College
4079,Concordia University Oregon
4253,Confederated Tribes Grand Ronde Community of Oregon
4956,Corban University
4300,Eastern Oregon University
2152,Everest College
4325,George Fox University
2605,Gutenberg College
4127,Klamath Community College
4407,Lane Community College
4384,Lewis and Clark College
4387,Linfield College
4333,Linfield College Portland
4413,Linn-Benton Community College
440,Marylhurst University
4491,Mount Angel Seminary
4508,Mount Hood Community College
4205,Multnomah Education Service District
4496,Multnomah University
9348,Navy Recruiting District Portland
4274,New Hope Christian College
4543,Northwest Christian University
7456,Oregon Coast Community College Central County Cmps
4236,Oregon College of Art and Craft
4900,Oregon Health and Science University
4587,Oregon Institute of Technology
4586,Oregon State University
4504,Pacific Northwest College of Art
4601,Pacific University
492,Pioneer Pacific College
4617,Portland Community College
4610,Portland State University
4654,Reed College
4653,Rogue Community College
4702,Southern Oregon University
4729,Southwestern Oregon Community College
7470,Tillamook Bay Community College
4825,Treasure Valley Community College
4862,Umpqua Community College
4846,University of Oregon
7856,University of Phoenix Oregon
4847,University of Portland
4595,Warner Pacific College
4585,Western Oregon University
4954,Willamette University Pennsylvania
